text,label
"The Wuhan coronavirus highlights the weakness in China's system of governance: lower-level officials don't deliver bad news for fear of being axed, and they don't consult laterally with each other due to Beijing's fear that they will conspire against it.  https://trib.al/KR4diLK  pic.twitter.com/rHKUTbL6QX",1
"It’s funny how wired we are for sudden threats (plane crash) vs. the longterm threats (cardiovascular disease) that are far more likely to kill us.

Spent the last 2 hours researching Coronavirus cures + helicopter safety statistics

...then pounded a cookie to calm myself down.",1
US stock futures fall more than 1 percent as coronavirus fears spread  https://cna.asia/37q5wn4  pic.twitter.com/TBS6OGvlZy,1
California's first two cases of coronavirus are confirmed in L.A. and Orange counties  http://dlvr.it/RNp9pY  [Top Stories] pic.twitter.com/c7qduuI1YL,1
"BREAKING: Brent crude drops below $60 a barrel as market fears impact of Chinese virus outbreak on global #oil demand 

Saudi Arabia says in statement it’s “closely monitoring” the situation, but so far sees only “very limited” impact on demand | #OOTT #Coronavirus @TheTerminal pic.twitter.com/ofVgp5qPNN",1
"Arizona, California cases push U.S. tally of coronavirus to five  https://trib.al/AVmkB7h ",1
"A fifth US case of coronavirus has been confirmed in Arizona, the Centers for Disease Control and Prevention said on Sunday.  https://keyt.com/news/national-world/2020/01/26/a-third-case-of-coronavirus-is-confirmed-in-the-us-as-china-struggles-to-contain-outbreak/ …",1
"China testing HIV drug as treatment for new coronavirus, AbbVie says  https://www.reuters.com/article/us-china-health-abbvie-hiv-idUSKBN1ZP0QK?taid=5e2e2377ecb7110001ba14ca&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/QKpzlD1kvi",1
"UPDATE: The death toll from the #coronavirus in mainland China has risen to at least 80 from 56, and there are 371 new cases confirmed, according to China's CCTV  pic.twitter.com/9tS3pQiNNq",1
China suspends wildlife animal trade over coronavirus outbreak  https://nypost.com/2020/01/26/china-suspends-wildlife-animal-trade-over-coronavirus-outbreak/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost #China #coronavirus #CoronavirusOutbreak,1
"2 SoCal patients test positive for #coronavirus
 http://via.kswbtv.com/bECDW ",0
Pope Francis praises China’s efforts to contain coronavirus  https://bit.ly/2TZ1pdK  pic.twitter.com/pciHMe7wID,1
"went to Bangkok and all i got was 
- six foot ditch cover
- kickback cover
- shattered realm cover
- coronavirus",1
"In face of the grave difficulty, people have shown great love for each other. The Chinese community and people from all walks of life here in the UK have expressed their sympathy and willingness to donate. We are deeply touched and greatly encouraged. #coronavirus  pic.twitter.com/lRJAM819GK",0
"Containing new coronavirus may not be feasible, experts tell ⁦@HelenBranswell⁩   https://www.statnews.com/2020/01/26/containing-new-coronavirus-may-not-be-feasible-experts-say/ …",1
Sydney to host Matildas Olympic qualifiers after coronavirus concerns  https://www.abc.net.au/news/2020-01-27/matildas-olympic-qualifiers-moved-wuhan-to-sydney-coronoavirus/11902730 …,1
WHO says coronavirus is not as deadly as severe acute respiratory syndrome (SARS),0
"None shall pass: Chinese cities, provinces close roads to stop spread of deadly coronavirus  https://www.scmp.com/news/china/society/article/3047711/none-shall-pass-chinese-cities-provinces-close-roads-stop-spread?utm_term=Autofeed&utm_medium=Social&utm_content=article&utm_source=Twitter#Echobox=1580078419 …",1
"The Los Angeles County Department of Public Health has confirmed the first case of novel coronavirus in Los Angeles County, the department said Sunday.
 http://nbcbay.com/Ry1rI2u ",1
Los Angeles County confirms first case of coronavirus  https://reut.rs/2TXHzzz  pic.twitter.com/6qxHej2lKO,1
China scrambles to contain strengthening virus  http://bit.ly/2RM1iQ8  #coronavirus  pic.twitter.com/0Tu5VARJlF,1
Got coronavirus,1
Fifth case of coronavirus confirmed in US  https://www.actionnewsjax.com/news/trending/fourth-case-coronavirus-confirmed-us/LV5Y3ROCNBDMNECX6LCYYF4ZEM/ …,1
"The scariest aspect of the new coronavirus is the potential for misinformation and concealment by authorities. Two historical examples show what can happen when governments value national pride and economic growth over the health of their citizens.

 https://medium.com/@katherineklingseis/coronavirus-what-we-can-learn-from-two-past-disease-outbreaks-fba333eae724 …",1
One hundred Australian children stranded in Wuhan as coronavirus spreads  https://www.theguardian.com/science/2020/jan/27/one-hundred-australian-children-stranded-in-wuhan-as-coronavirus-spreads?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1580081663 …,1
"It's about respect, sir. That was my point. 

Also, the media is not 99% of the population. Part of its responsibility is to educate us. 99% of the population probably didn't know about Coronavirus. Would it be OK for media to get info about it wrong?",0
"Not being racist or nothing, but I don’t want no Chinese food or Chinese Pussy until further notice #WOHAN #CoronaVirus",0
Officials confirm fourth US case of new coronavirus  http://bit.ly/3aMxN9l  pic.twitter.com/p0RDUaoRiJ,1
"The number of cases of coronavirus in the U.S. continues to grow:
 https://wbur.fm/2GrMSzf ",1
China Says Coronavirus Can Spread Before Symptoms Show -- Calling Into Question US Containment Strategy  http://trb.tv/Ksz4d  via @5news,1
Xi says China faces ‘grave situation’ as spread of coronavirus ‘accelerates'  http://sabahdai.ly/e1jo6y ,1
How to protect yourself if the deadly coronavirus comes to New Zealand  http://bit.ly/3aM6Qms  pic.twitter.com/opF8ZTrHQH,1
Psychology of the Wuhan Coronavirus Outbreak  | 2019 - nCoV  https://youtu.be/M70dqKQLiQg  via @YouTube,1
I'm live at 5 on @abc15 with more about the first confirmed case of #coronavirus in Maricopa County.  pic.twitter.com/Y4WYXrGvrQ,1
"Containing new coronavirus may not be feasible, experts say - ⁦@statnews⁩ https://www.statnews.com/2020/01/26/containing-new-coronavirus-may-not-be-feasible-experts-say/ …",1
#Coronavirus FAQs: Do Masks Help? Is The Disease Really So Mysterious? via @NPRGoatsandSoda https://www.npr.org/sections/goatsandsoda/2020/01/25/799007842/coronavirus-faqs-do-masks-help-is-the-disease-really-so-mysterious …,1
"More on the coronavirus outbreak gripping Australia and the world.
 
There are four confirmed cases nationally with another suspected in Sydney.

Brianna Scully has more. #9News pic.twitter.com/LpDksvxo2E",1
Canada identifies first case of coronavirus  https://tribuneonlineng.com/canada-identifies-first-case-of-coronavirus/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1580078529 …,1
U.S. stock futures fall more than 1 percent as coronavirus fears spread  https://reut.rs/2uBL1Fm  #news #business #social pic.twitter.com/EATpqGybox,1
"Fifth coronavirus case confirmed in fourth state in US 
 http://kunanews.net/oWha30qctH5 
#KUNA 
(I.F)",0
The #Coronavirus Outbreak: Why the Risk Is Higher for Older People With Pre-existing Health Conditions >  https://bit.ly/2RL7F6h  pic.twitter.com/TVJMcBLLCR,1
"""The death rate for influenza in Canada is 500 to 1500 cases per year.""

 https://ipac-canada.org/influenza-resources.php …

""SARS (a coronavirus), or Severe Acute Respiratory Syndrome, killed 44 people in Canada""

 https://nationalpost.com/pmn/health-pmn/canada-girds-for-new-coronavirus-17-years-after-deadly-sars-epidemic …",1
"Yes, the mayor said that, on average, 45% of suspected cases are eventually confirmed as coronavirus. So if we apply this to the 2,200 people, that's about 1,000 new cases",1
"Health officials confirm coronavirus case in Arizona

 http://bit.ly/2RsUisn  pic.twitter.com/eqiwdqFoGP",1
"On my way to work

Uber driver says: “did you hear about Kobe Bryant? Not a good start to the year, bushfires, coronavirus, Kobe”

I cheered him up by telling him Powderfinger had five songs in the Hottest 100 of 1999",0
"COMMENT | The impact of the coronavirus on China’s economy will be severe. No prizes for guessing who is next, writes @BGottliebsen. https://bit.ly/38Hig92 ",1
"While you have him, can you ask #Bolton what he had in mind when he disbanded the preparedness office for pandemics and demoted the homeland security advisor role? 
#coronavirus #homelandsecurity",0
"Not a happy headline 'Coronavirus is infectious even during incubation, and its ability to spread worldwide is strengthening, say Chinese authorities'  https://www.abc.net.au/news/2020-01-27/coronavirus-strengthening-spread-infectious-during-incubation/11902378 … via @ABCNews",1
WHO says it has yet to confirm China's report that the Wuhan coronavirus can be spread before symptoms show  http://bit.ly/2tJdPvT ,1
"UPDATED: The Va. Dept. of Health is investigating a potential coronavirus case in Northern Virginia, believed to be George Mason student. It is one of three possible cases around the state.  https://wtop.com/virginia/2020/01/virginia-investigates-3-possible-cases-of-coronavirus/ …",1
We take a look at where the coronavirus spread in one month in #GraphicTruth: https://www.gzeromedia.com/the-graphic-truth-where-has-the-wuhan-coronavirus-spread …,1
"#breaking from @nachoaguilar: @tamu student **does not** have coronavirus, health officials say  https://www.texastribune.org/2020/01/26/texas-coronavirus-student/ … #txlege",1
"Test results of Texas A&M student suspected of contracting the coronavirus have been confirmed negative.
 http://www.thebatt.com/news/suspected-case-of-novel-coronavirus-confirmed-negative/article_c2e95f9a-408c-11ea-8a0d-e3ee520acacc.html …",1
"Toronto’s coronavirus patient showed mild symptoms on his flight to Pearson
  https://www.therecord.com/news-story/9831394-health-officials-searching-for-passengers-after-toronto-s-coronavirus-patient-showed-symptoms-on-his-flight-to-pearson/ …",1
"Coronavirus may have originated in lab linked to China's biowarfare program

 http://bit.ly/2NZv8Qb  pic.twitter.com/0Cxbi7cnKp",0
"""Why did the mainstream media fall in love with the Chinese again and think they are telling the truth about this illness?""

@JimCramer says there might be more to the coronavirus outbreak than meets the eye and China is hiding it.

 https://washex.am/2RUoRGi ",0
"Two people in Southern California have tested positive for coronavirus, health officials said.  http://bit.ly/2RPnaKA ",1
China has temporarily banned its wildlife trade because of the coronavirus outbreak  https://www.ctvnews.ca/sci-tech/china-has-temporarily-banned-its-wildlife-trade-because-of-the-coronavirus-outbreak-1.4783848?taid=5e2e1a3decb7110001ba14ae&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/HUxYZjuxzO,1
Super scary. Some infectious disease experts are warning that it may no longer be feasible to contain the new coronavirus circulating in China. Failure to stop it there could see the virus spread in a sustained way around the world.  https://www.statnews.com/2020/01/26/containing-new-coronavirus-may-not-be-feasible-experts-say/ … via @statnews,1
"In response to the coronavirus, GMO announced that their 4,000 employees are encouraged to work from home over the next 2 weeks. 

There are now 4 reported cases in Japan. Considering there are ~10 million visitors from China / year, there could be many more to come.  https://twitter.com/m_kumagai/status/1221341586165907456 …",1
"Right now in US you are far more likely to catch flu from your coworker (if you care this much you DID get a flu shot right?) or norovirus from your kid forgetting to wash their hands after using the bathroom than you are to contract the novel corona virus. 

Behave accordingly.",0
BREAKING: Death toll from coronavirus in China's Hubei province reaches 76 - reports  https://sptnkne.ws/BhUG  pic.twitter.com/ettljg1Bl9,1
Of course perhaps nothing will convince Americans they need a stable president and a highly functional government. Maybe Michael Lewis is wrong that a pandemic might make this clear. #coronavirus,1
"We are confident that, under the strong leadership of the Central Government of China, and with the broad support of the international community, including the UK, we have the resolve and capability to beat the virus. #coronavirus  pic.twitter.com/8TRgeb3iwI",1
China warns coronavirus strengthening while admitting knowledge of virus limited  https://www.abc.net.au/news/2020-01-27/coronavirus-strengthening-spread-infectious-during-incubation/11902378 … via @ABCNews,1
"China testing HIV drug as treatment for new coronavirus, AbbVie says  https://uk.reuters.com/article/uk-china-health-abbvie-hiv-idUKKBN1ZP0Q8?taid=5e2e1b570f91f60001a245c1&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/dmNvbf6pur",1
"NEW: The test results for coronavirus in a Texas A&M graduate student came back negative Sunday, the university says -->  http://on.nbcdfw.com/Wcg5y9l  @NBCDFW",1
Ironic if China finally stops the trade of endangered species in order to save humanity from the viruses 🦠 coming out of their wildlife markets. I hope and wish with all my heart that this ban becomes permanent! #coronavirus #RacingExtinction pic.twitter.com/VCi5yufhts,1
"Public anger grows over coronavirus in Thailand, with eight cases of the illness  https://bit.ly/2GohxNV  pic.twitter.com/Pwy1k8TUd2",1
How the new coronavirus stacks up against SARS and MERS | Science News  https://www.sciencenews.org/article/how-new-wuhan-coronavirus-stacks-up-against-sars-mers …,1
WHO Representative in the Philippines Dr Rabindra Abeyasinghe is on @cnnphilippines New Day this morning to discuss the 2019 novel #coronavirus.  pic.twitter.com/yYuP591LPL,1
Every day there seems to be a new development with the deadly 2019 Novel Coronavirus.  https://trib.al/OHD5sZ5 ,1
"A new case of the deadly coronavirus has been confirmed in the U.S., bringing the total infections to three as the situation in China, where the bug originated, grows increasingly dire.  https://trib.al/A7RVxbA ",1
"HEALTH  UPDATE: Texas A&M student tests negative for deadly coronavirus, CDC says  https://abc13.com/health/texas-a-m-student-tested-negative-for-coronavirus/5873617/?ex_cid=SND_KTRK_TW&utm_source=twitter&utm_medium=social&utm_campaign=snd …",1
"UPDATE: A student at Texas A&M University does not have the 2019 novel coronavirus, Brazos County officials said Sunday.  http://www.newswest9.com/article/news/health/possible-case-of-coronavirus-in-brazos-county-health-department-confirms/285-c0fb43c0-6c58-4011-bc1d-7ccfa329169f …",1
"Coronavirus Case Confirmed In Arizona, Bringing U.S. Total To 5  http://i.securitythinkingcap.com/RNpB19  pic.twitter.com/8jJcv9fTe4",1
#NewZealand - latest information and advice following an outbreak of coronavirus in China and elsewhere in the region.  You should comply with any additional screening measures put in place by the New Zealand authorities. More info:  http://ow.ly/UdOw50y5iGc  pic.twitter.com/agpsMJnbaH,1
Wuhan Tianhe International Airport in all-out effort to ensure transport of medical staff and supplies amid novel #coronavirus outbreak  pic.twitter.com/8yyCBFH4HJ,0
"Foreign Minister Marise Payne is working to free Australian families trapped in China, where hospitals are under strain and cities in lockdown as the coronavirus spreads  https://www.smh.com.au/politics/federal/coronavirus-work-to-evacuate-100-young-aussies-trapped-in-china-20200127-p53uyy.html?utm_medium=Social&utm_source=Twitter#Echobox=1580082100 …",1
"Hi Haruya, thanks for your tweet. I understand that you are concerned about the corona virus. Could you DM us your booking reference and full name so we can check your options? Thanks - Lee",1
Latest on the coronavirus spreading in China and beyond  https://in.reuters.com/article/china-health-virus-factbox-idINKBN1ZM0EK?taid=5e2e21330f91f60001a245c8&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/0hIpOgwwar,1
"Coronavirus update:
- 2,493 confirmed cases, 80 dead
- 390 in serious/critical condition
- Vast majority of cases in China
- 11 countries reporting cases
 https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/ …",1
"Coronavirus Case Confirmed In Arizona, Bringing U.S. Total To 5  https://www.npr.org/sections/goatsandsoda/2020/01/26/799726161/coronavirus-case-confirmed-in-arizona-bringing-u-s-total-to-5?utm_source=dlvr.it&utm_medium=twitter …",1
"Working collaboratively with @celliottability to ensure the safety of Ontario students. 

Our response below to the presumptive positive case of the Wuhan novel #coronavirus.  pic.twitter.com/YybirNJY0H",1
"A 21yo NSW woman is the latest to be infected with the deadly coronavirus.

Health Minister Brad Hazzard has the latest update.
 https://www.2gb.com/fifth-australian-infected-with-coronavirus-hundreds-more-trapped-in-china/ …",1
"A top Chinese health official warned on Sunday that the coronavirus ""epidemic is now entering a more serious and complex period""  https://nyti.ms/36zCcJO ",1
Pandemic strategy game Plague Inc.’s popularity renewed amid coronavirus threat  http://bit.ly/2t4FSWc ,1
"A fifth US case of coronavirus has been confirmed in Arizona, the Centers for Disease Control and Prevention said on Sunday.  https://keyt.com/news/national-world/2020/01/26/a-third-case-of-coronavirus-is-confirmed-in-the-us-as-china-struggles-to-contain-outbreak/ …",1
"Coronavirus death toll climbs to 80 in China, New Year holiday extended in virus war
 http://www.hindustantimes.com/world-news/coronavirus-death-toll-climbs-to-80-in-china-new-year-holiday-extended-in-virus-war/story-g5OKuQFU6OBM1D4NELPV1H.html …",1
"We’re closely monitoring the novel #coronavirus developments in Ontario, China & around the world. There are currently no cases in Alberta & the risk to Albertans is still low.
Read today’s statement from Alberta's Chief Medical Officer  https://www.alberta.ca/coronavirus-info-for-albertans.aspx#statement …
#2019nCoV #abhealth",1
Latest on the coronavirus spreading in China and beyond  https://uk.reuters.com/article/uk-china-health-virus-factbox-idUKKBN1ZP0B6?taid=5e2e1454ebed6f0001a55d31&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/msCphZigte,1
Coronavirus patient showed mild symptoms on flight  https://ottawacitizen.com/pmn/news-pmn/canada-news-pmn/newsalertcoronavirus-patient-showed-mild-symptoms-on-flight/wcm/c7b092e0-63df-4b21-9b1c-579bb28bb146?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1580077531 … pic.twitter.com/1Q1bM0b9vR,1
"Saudi Arabia’s Energy Minister said the Kingdom was closely monitoring developments in global oil markets resulting from “gloomy expectations” over the impact of the new coronavirus.

 https://arab.news/yrs68  pic.twitter.com/PKZiVVCUad",1
"It’s looking increasingly unlikely that the new coronavirus can be contained largely in China, which means governments are going to have to start preparing for the possibility of global transmission, experts say.  https://www.statnews.com/2020/01/26/containing-new-coronavirus-may-not-be-feasible-experts-say/ …",1
"UPDATE: Coronavirus cases in the U.S. up to 5, officials say.

 https://mynbc15.com/news/nation-world/4th-case-of-coronavirus-confirmed-in-the-us-officials-say …",1
CDC: 5 cases of coronavirus infections now confirmed in US  http://bit.ly/38G5qrF  pic.twitter.com/6BGYPDreGY,1
Costco was abuzz this afternoon with people talking about Kobe...yet I (over)heard no one talking about Wuhan Coronavirus as they plunged their unwashed paws into free samples. I came home and scrubbed like a surgeon.  pic.twitter.com/SUEo6wH24r,0
"China testing HIV drug as treatment for new coronavirus, AbbVie says  https://www.reuters.com/article/us-china-health-abbvie-hiv/china-testing-hiv-drug-as-treatment-for-new-coronavirus-abbvie-says-idUSKBN1ZP0QK?feedType=RSS&feedName=topNews … pic.twitter.com/8phbBntEI3",1
1st Coronavirus Patient Confirmed In Los Angeles County  https://patch.com/california/los-angeles/1st-coronavirus-patient-confirmed-los-angeles-county …,1
"'Coronavirus was man-made' theory debunked
 https://www.thestar.com.my/news/nation/2020/01/27/coronavirus-was-man-made-theory-debunked … https://www.thestar.com.my/news/nation/2020/01/27/coronavirus-was-man-made-theory-debunked …",1
"The number of U.S. coronavirus cases grows, as Arizona and California each confirm new cases.
 http://bit.ly/2uzlP2x ",1
Australia To Evacuate Citizens From Coronavirus Epicentre As Riots Break Out Abroad  https://10daily.com.au/news/australia/a200126utnkf/australia-to-evacuate-citizens-from-coronavirus-epicentre-as-riots-break-out-abroad-20200126 …,1
"Jimmy has started coughing. He’s clearly got Coronavirus. 

I loved you all twitter, well apart from the TERFs.  pic.twitter.com/DPyBrmANhq",0
World Health Organization Country Representative Dr. Rabindra Abeyasinghe: We need to be clear coronavirus can only be spread through very close contact with someone who is infected,1
"I’m posting this again, because it is the best #podcast out there on the #nCoV2019 #coronavirus out there, bar none:

 http://www.microbe.tv/twiv/twiv-584/ ",1
"2019 Novel Coronavirus infection (Wuhan, China): Outbreak update -  http://Canada.ca   https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_coronavirus …",0
"The coronavirus death toll in the Chinese province of Hubei has risen to 76. The province's health commission says the number of confirmed cases had risen to 1,423 by day's end Sunday. Here's the updated story:  http://cbc.ca/1.5440899 ",1
"China warns Coronavirus transmission ability getting stronger, braces for more cases

(report by @spatranobis)

 https://www.hindustantimes.com/world-news/china-warns-coronavirus-transmission-ability-getting-stronger-braces-for-more-cases/story-lg2FYWwN5U6wkY8tThR2SK.html … pic.twitter.com/NXaU715wvB",1
